,Input,Input,Input,Input,Input,Input,Input,Input,Input,Output
,Cell A,Cell A,Cell A,Cell A,Cell A,Cell A,Cell A,Cell A,Cell A,Cell A
Date (XLS format),Tattic,Tcellar,Tnorth,Teast,Tsouth,Twest,Tcell,Qfan,HWDsafr,Qhtr
GMT + 1,°C,°C,°C,°C,°C,°C,°C,Wh,m3/h,Wh
1/26/2000 12:00,9.96,10.04,10.01,10.63,10.09,10.16,15.03,148,1225.92,736.400013
1/26/2000 13:00,10,10.08,10.03,10.72,10.07,10.17,19.17,216,1280.09,1210.100006
1/26/2000 14:00,10.1,10.1,10.21,10.68,10.02,10.17,21.24,216,1336.62,1209.599976
1/26/2000 15:00,10.16,10.11,10.21,10.58,10.01,10.19,22.87,216,1387.47,1209
1/26/2000 16:00,10.17,10.11,10.11,10.45,9.97,10.21,24.26,216,1341,1209.099996
1/26/2000 17:00,9.97,10.13,10.1,10.34,9.98,10.21,25.52,216,1317.91,1207.527244
1/26/2000 18:00,9.95,10.14,10.14,10.28,9.99,10.24,26.67,216,1347.98,1207.599976
1/26/2000 19:00,9.92,10.15,10.24,10.21,10.02,10.26,27.74,216,1244.23,1207.199951
1/26/2000 20:00,9.89,10.16,10.27,10.24,10.03,10.27,28.72,216,1403.55,1207.199951
1/26/2000 21:00,9.93,10.16,10.29,10.24,10.03,10.23,29.64,216,1288.87,1206.799967
1/26/2000 22:00,10.05,10.16,10.3,10.2,10.02,10.2,30.51,216,1382.37,1206.799967
1/26/2000 23:00,10.09,10.17,10.32,10.18,10.02,10.21,31.33,216,1271.38,1206.799967
1/27/2000 0:00,10.12,10.19,10.29,10.14,10.02,10.22,32.1,216,1342.67,1206.699972
1/27/2000 1:00,10.13,10.2,10.2,10.1,10.04,10.24,32.82,216,1291.7,1206.654519
1/27/2000 2:00,10.13,10.2,10.19,10.06,10.04,10.25,33.51,216,1385.87,1206.49998
1/27/2000 3:00,10.13,10.2,10.23,10.04,10.05,10.26,34.17,216,1313.54,1206.599976
1/27/2000 4:00,10.12,10.2,10.26,10.05,10.06,10.26,34.59,216,1327.68,1123.600011
1/27/2000 5:00,10.11,10.19,10.32,10.1,10.04,10.25,34.66,220,1286.4,1013.600001
1/27/2000 6:00,10.1,10.19,10.35,10.14,10.03,10.23,34.7,221,1343.38,942.200007
1/27/2000 7:00,10.1,10.19,10.39,10.14,10.03,10.24,34.72,222,1360.82,892.200002
1/27/2000 8:00,10.08,10.19,10.35,10.11,10.03,10.23,34.72,222,1360.89,844.600001
1/27/2000 9:00,10.07,10.18,10.4,10.16,10.04,10.22,34.74,224,1363.54,805.800016
1/27/2000 10:00,10.04,10.17,10.23,10.3,10.05,10.19,34.52,224,1391.77,740.072715
1/27/2000 11:00,10.03,10.17,10.21,10.52,10.06,10.17,34.46,225,1416.14,720.800003
1/27/2000 12:00,10.05,10.17,10.18,10.73,10.06,10.15,34.6,223,1298.03,801.818176
1/27/2000 13:00,10.11,10.18,10.19,10.89,10.03,10.13,34.85,224,1328.78,803.890902
1/27/2000 14:00,10.19,10.18,10.2,10.91,9.97,10.11,34.95,224,1452.18,788.800003
1/27/2000 15:00,10.09,10.16,10.18,10.89,9.95,10.08,35.01,224,1339.83,777.818182
1/27/2000 16:00,9.99,10.12,10.43,10.78,9.91,10.06,33.9,144,779.98,457.6
1/27/2000 17:00,9.97,10.06,10.77,10.59,9.91,10.12,28.79,0,39.08,0.3
1/27/2000 18:00,10.03,10.08,10.67,10.44,9.94,10.02,26.6,0,31.51,0
1/27/2000 19:00,10.04,10.09,10.38,10.33,9.96,10.03,25.07,0,27.39,0.3
1/27/2000 20:00,10.02,10.1,10.23,10.25,10,10.04,23.83,0,25.24,0
1/27/2000 21:00,9.99,10.11,10.2,10.18,9.98,10.05,22.79,0,18.34,0.3
1/27/2000 22:00,9.95,10.12,10.21,10.14,9.98,10.06,21.9,0,16.18,0
1/27/2000 23:00,9.89,10.11,10.09,10.11,9.98,10.05,21.1,0,13,0.3
1/28/2000 0:00,9.85,10.11,10.08,10.09,9.98,10.06,20.39,0,11.01,0
1/28/2000 1:00,9.92,10.11,10.06,10.04,10,10.07,19.74,0,5.48,0.3
1/28/2000 2:00,10.11,10.11,10.05,10.05,10.02,10.09,19.16,0,3.77,0
1/28/2000 3:00,9.97,10.11,10.04,10.03,10.02,10.09,18.63,0,0.25,0.3
1/28/2000 4:00,9.91,10.11,10.02,10.05,10.02,10.09,18.15,0,0,0
1/28/2000 5:00,9.86,10.11,10.05,10.07,10.04,10.09,17.71,0,0,0.3
1/28/2000 6:00,9.83,10.1,10.03,10.1,10,10.09,17.3,0,0,0
1/28/2000 7:00,10,10.1,10,10.08,10.02,10.09,16.92,0,0,0.3
1/28/2000 8:00,10.06,10.1,10.02,10.08,10.01,10.09,16.57,0,0,0.3
1/28/2000 9:00,10.09,10.1,10.02,10.06,10.02,10.16,16.25,0,0,0
1/28/2000 10:00,10.07,10.08,10.03,10.08,10.03,10.24,15.95,0,0,0.3
1/28/2000 11:00,10.08,10.07,10.01,10.34,10.05,10.26,15.67,0,0,0
1/28/2000 12:00,10.1,10.06,10.02,10.62,10.05,10.03,15.41,0,0,0.3
1/28/2000 13:00,10.15,10.05,10.11,10.74,10.02,10.11,15.17,0,0,0
1/28/2000 14:00,10.07,10.03,10.12,10.7,9.97,10.1,14.96,0,0,0.3
1/28/2000 15:00,10.11,10.01,10.1,10.59,9.95,10.07,14.75,0,0,0
1/28/2000 16:00,10.17,9.98,10.1,10.49,9.94,10.04,14.56,0,0,0.3
1/28/2000 17:00,10.24,9.98,10.1,10.39,9.95,10.04,14.38,0,0,0
1/28/2000 18:00,10.27,9.98,10.1,10.36,9.96,10.05,14.21,0,0,0.3
1/28/2000 19:00,10.28,9.97,10.09,10.29,10,10.05,14.05,0,0,0
1/28/2000 20:00,10.28,9.97,10.11,10.26,9.99,10.06,13.9,0,0,0.3
1/28/2000 21:00,10.28,9.97,10.2,10.26,10,10.06,13.77,0,0,0
1/28/2000 22:00,10.28,9.96,10.22,10.26,9.98,10.05,13.64,0,0,0.3
1/28/2000 23:00,10.27,9.95,10.23,10.27,9.99,10.04,13.52,0,0,0
1/29/2000 0:00,10.26,9.95,10.22,10.28,9.96,10.02,13.4,0,0,0.3
1/29/2000 1:00,10.25,9.94,10.21,10.3,9.98,10,13.29,0,0,0
1/29/2000 2:00,10.24,9.93,10.17,10.31,10.01,9.99,13.18,0,0,0.3
1/29/2000 3:00,10.23,9.92,10.14,10.3,10.01,10.02,13.08,0,0,0
1/29/2000 4:00,10.22,9.9,10.12,10.3,10,10.03,12.98,0,0,0.3
1/29/2000 5:00,10.22,9.9,10.09,10.3,9.99,10.04,12.89,0,0,0
1/29/2000 6:00,10.22,9.9,10.08,10.31,9.99,10.04,12.8,0,0,0.3
1/29/2000 7:00,10.22,9.89,10.05,10.32,9.98,10.04,12.71,0,0,0
1/29/2000 8:00,10.23,9.93,10.02,10.34,9.98,10.03,12.63,0,0,0.3
1/29/2000 9:00,10.26,10.04,10.01,10.34,9.99,10.03,12.55,0,0,0
1/29/2000 10:00,10.29,10.05,9.98,10.36,10.01,10.03,12.48,0,0,0.3
1/29/2000 11:00,10.32,10.06,9.97,10.38,10,10.02,12.4,0,0,0
1/29/2000 12:00,9.98,10.05,9.94,10.35,10.01,10,12.33,0,0,0.3
1/29/2000 13:00,9.86,10.04,9.93,10.35,10,9.98,12.27,0,0,0
1/29/2000 14:00,9.83,10.05,9.94,10.38,9.96,9.98,12.2,0,0,0.3
1/29/2000 15:00,9.83,10.04,9.94,10.38,9.97,9.97,12.14,0,0,0
1/29/2000 16:00,9.83,10.05,9.97,10.27,9.95,10.02,12.08,0,0,0.3
1/29/2000 17:00,9.84,10.05,9.97,10.22,9.96,10.04,12.03,0,0,0
1/29/2000 18:00,9.84,10.05,9.99,10.23,9.98,10.05,11.98,0,0,0.3
1/29/2000 19:00,9.84,10.05,9.99,10.26,9.97,10.06,11.93,0,0,0
1/29/2000 20:00,9.84,10.06,10.01,10.26,9.99,10.08,11.88,0,0,0.3
1/29/2000 21:00,9.85,10.06,10.04,10.26,9.96,10.09,11.83,0,0,0
1/29/2000 22:00,9.87,10.06,10.05,10.26,9.96,10.1,11.79,0,0,0.3
1/29/2000 23:00,9.87,10.05,10.04,10.26,9.93,10.09,11.75,0,0,0
1/30/2000 0:00,9.87,10.05,10.03,10.26,9.95,10.09,11.71,0,0,0.3
1/30/2000 1:00,9.89,10.05,10.03,10.26,9.94,10.1,11.67,0,0,0
1/30/2000 2:00,9.9,10.06,10.05,10.26,9.98,10.1,11.63,0,0,0.3
1/30/2000 3:00,9.92,10.07,10.06,10.26,9.96,10.11,11.6,0,0,0
1/30/2000 4:00,9.92,10.06,10.07,10.26,9.97,10.11,11.56,0,0,0.3
1/30/2000 5:00,9.93,10.05,10.18,10.25,9.96,10.11,11.53,0,0,0
1/30/2000 6:00,9.94,10.06,10.18,10.26,9.93,10.12,11.51,0,0,0.3
1/30/2000 7:00,9.95,10.06,10.19,10.26,9.95,10.12,11.48,0,0,0
1/30/2000 8:00,9.96,10.05,10.19,10.27,9.92,10.11,11.45,0,0,0.3
1/30/2000 9:00,9.98,10.05,10.17,10.27,9.94,10.11,11.42,0,0,0
1/30/2000 10:00,9.97,10.02,10.14,10.26,9.97,10.07,11.39,0,0,0.3
1/30/2000 11:00,10,10.06,10.16,10.29,9.95,10.11,11.36,0,0,0
1/30/2000 12:00,10.08,10.14,10.23,10.36,9.97,10.17,11.34,0,0,0.3
1/30/2000 13:00,10.13,10.14,10.12,10.31,9.94,10.11,11.31,0,0,0
1/30/2000 14:00,10.14,10.11,10.02,10.24,9.93,10.04,11.28,0,0,0.3
1/30/2000 15:00,10.16,10.15,10.02,10.3,9.9,10.02,11.25,0,0,0
1/30/2000 16:00,10.16,10.14,10.01,10.29,9.91,10.01,11.22,0,0,0.3
1/30/2000 17:00,10.17,10.15,10.15,10.26,9.94,10.03,11.2,0,0,0
1/30/2000 18:00,10.15,10.13,10.21,10.21,9.93,10.01,11.19,0,0,0.3
1/30/2000 19:00,10.16,10.17,10.23,10.2,9.96,10.04,11.17,0,0,0
1/30/2000 20:00,10.14,10.16,10.2,10.21,9.95,10.04,11.15,0,0,0.3
1/30/2000 21:00,10.1,10.11,10.14,10.15,9.95,10,11.13,0,0,0
1/30/2000 22:00,10.13,10.16,10.18,10.17,9.91,10.09,11.11,0,0,0.3
1/30/2000 23:00,10.1,10.11,10.13,10.14,9.92,10.06,11.09,0,0,0
1/31/2000 0:00,10.1,10.12,10.16,10.24,9.93,10.07,11.07,0,0,0.3
1/31/2000 1:00,10.08,10.09,10.15,10.28,9.94,10.05,11.05,0,0,0
1/31/2000 2:00,10.1,10.13,10.19,10.29,9.95,10.08,11.03,0,0,0.3
1/31/2000 3:00,10.09,10.11,10.18,10.25,9.97,10.07,11.01,0,0,0
1/31/2000 4:00,10.08,10.11,10.18,10.24,9.95,10.07,11,0,0,0.3
1/31/2000 5:00,10.08,10.13,10.17,10.23,9.95,10.09,10.98,0,0,0
1/31/2000 6:00,10.06,10.1,10.14,10.2,9.92,10.07,10.96,0,0,0.3
1/31/2000 7:00,10.07,10.14,10.19,10.2,9.94,10.11,10.95,0,0,0
1/31/2000 8:00,10.04,10.09,10.15,10.16,9.93,10.06,10.93,0,0,0.3
1/31/2000 9:00,10.06,10.15,10.19,10.18,9.95,10.12,10.91,0,0,0
1/31/2000 10:00,10.04,10.1,10.07,10.16,9.95,10.08,10.92,0,0,0.3
