AirTerminal:SingleDuct:ParallelPIU:Reheat,Maximum Primary Air Flow Rate,3
AirTerminal:SingleDuct:ParallelPIU:Reheat,Maximum Secondary Air Flow Rate,4
AirTerminal:SingleDuct:ParallelPIU:Reheat,Fan On Flow Fraction,6
AirTerminal:SingleDuct:ParallelPIU:Reheat,Maximum Reheat Water Flow Rate,15
Fan:ConstantVolume,Maximum Flow Rate,5
Coil:Heating:Water,Design Coil Load,10
Coil:Heating:Water,Maximum Water Flow Rate,4
Coil:Heating:Water,U-Factor Times Area Value,3
Branch,Maximum Flow Rate,2
AirLoopHVAC,Design Supply Air Flow Rate,4
Controller:OutdoorAir,Maximum Outdoor Air Flow Rate,7
Controller:OutdoorAir,Minimum Outdoor Air Flow Rate,6
Coil:Cooling:Water,Design Coil Load,nil
Coil:Cooling:Water,Design Water Flow Rate,3
Coil:Cooling:Water,Design Air Flow Rate,4
Coil:Cooling:Water,Design Inlet Air Temperature,6
Coil:Cooling:Water,Design Inlet Water Temperature,5
Coil:Cooling:Water,Design Outlet Air Temperature,7
Coil:Cooling:Water,Design Inlet Air Humidity Ratio,8
Coil:Cooling:Water,Design Outlet Air Humidity Ratio,9
Coil:Heating:Electric,Nominal Capacity,4
Fan:VariableVolume,Maximum Flow Rate,5
Controller:WaterCoil,Maximum Actuated Flow,8
Controller:WaterCoil,Controller Convergence Tolerance,7
Boiler:HotWater,Nominal Capacity,3
Boiler:HotWater,Design Water Flow Rate,8
PlantLoop,Maximum Loop Flow Rate,8
PlantLoop,Plant Loop Volume,10
Chiller:Electric:EIR,Reference Chilled Water Flow Rate,6
Chiller:Electric:EIR,Reference Capacity,2
Pump:ConstantSpeed,Rated Flow Rate,4
Pump:ConstantSpeed,Rated Power Consumption,6
Coil:Heating:Electric,Nominal Capacity,4
Coil:Cooling:DX:TwoSpeed,Rated High Speed Air Flow Rate,6
Coil:Cooling:DX:TwoSpeed,Rated High Speed Total Cooling Capacity (gross),3
Coil:Cooling:DX:TwoSpeed,Rated High Speed Sensible Heat Ratio,4
Coil:Cooling:DX:TwoSpeed,Rated Low Speed Air Flow Rate,18
Coil:Cooling:DX:TwoSpeed,Rated Low Speed Total Cooling Capacity (gross),15
Coil:Cooling:DX:TwoSpeed,Rated Low Speed Sensible Heat Ratio,16
